序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
102,8296,22.553986,113.798255,272.4,24.2,4.0,0.515
103,7185,22.552047,113.799877,304.1,32.0,4.0,0.5
104,6876,22.550107,113.801965,308.0,38.2,4.0,0.47
105,7973,22.547866,113.803728,173.4,40.8,4.0,0.469
106,9370,22.546486,113.804514,147.1,20.2,4.0,0.485
107,7411,22.545912,113.805805,185.6,32.5,4.0,0.392
108,8512,22.544349,113.806441,305.7,32.0,2.0,0.405
109,8174,22.542339,113.808472,263.4,15.3,2.0,0.392
110,8094,22.540556,113.810161,322.4,28.0,3.0,0.405
111,9719,22.538524,113.8124,341.8,30.0,2.0,0.405
112,9882,22.535771,113.813879,305.9,59.2,2.0,0.34
113,9491,22.533909,113.816072,292.3,50.2,3.0,0.488
114,8498,22.531948,113.817967,304.7,39.2,4.0,0.416
115,8467,22.530033,113.820089,248.8,15.3,3.0,0.394
116,12162,22.527808,113.82035,513.4,59.0,2.0,0.405
117,12171,22.525515,113.816011,7630.6,2119.6,1.0,0.0
118,8317,22.520195,113.741945,206.3,18.0,1.0,0.405
119,8370,22.520265,113.739938,267.9,11.0,1.0,0.405
120,10331,22.520502,113.737342,269.9,9.0,1.0,0.405
121,10515,22.518087,113.737604,395.3,30.0,1.0,0.405
122,10332,22.51584,113.734623,199.8,23.5,3.0,0.453
123,12133,22.514115,113.735169,485.8,18.5,3.0,0.346
124,10568,22.509779,113.735739,208.8,26.0,3.0,0.484
125,9384,22.507908,113.735917,222.9,30.0,3.0,0.453
126,10245,22.505944,113.736353,221.6,27.7,2.0,0.395
127,9429,22.503986,113.73675,236.1,7.5,2.0,0.396
128,12109,22.501911,113.737236,204.0,23.0,2.0,0.448
129,9490,22.500109,113.737605,247.7,16.0,2.0,0.347
130,10171,22.497917,113.737172,241.3,32.0,2.0,0.294
131,10094,22.495754,113.73736,2395.2,55.0,1.0,0.405
132,12062,22.474226,113.738163,14461.4,4017.1,1.0,0.0
133,11854,22.344181,113.739805,236.0,15.0,2.0,0.405
134,9072,22.342092,113.740211,247.6,15.0,2.0,0.405
135,9572,22.339902,113.739781,696.8,20.5,3.0,0.41
136,10978,22.333745,113.738517,221.5,22.0,3.0,0.399
137,9993,22.331756,113.738409,196.8,15.0,3.0,0.405
138,9994,22.330034,113.737962,223.5,28.0,3.0,0.451
139,9671,22.328044,113.737662,208.0,28.0,3.0,0.451
140,11800,22.326184,113.737443,453.8,21.0,3.0,0.406
141,9530,22.322185,113.736563,252.1,31.0,3.0,0.405
142,9559,22.319955,113.736122,232.5,14.0,3.0,0.405
143,10084,22.317882,113.73583,200.5,21.0,3.0,0.396
144,10158,22.316127,113.735378,257.5,18.0,3.0,0.361
145,11792,22.313937,113.734569,229.6,29.0,3.0,0.459
146,10222,22.311891,113.734265,192.9,46.0,3.0,0.405
147,10086,22.310164,113.734445,247.4,14.0,3.0,0.405
148,10593,22.307987,113.733948,220.1,20.5,3.0,0.399
149,10427,22.30602,113.733718,190.4,36.5,3.0,0.347
150,11767,22.304312,113.73358,277.6,30.0,3.0,0.467
151,11766,22.301962,113.732669,261.5,21.5,3.0,0.383
152,11246,22.299621,113.73242,184.6,27.0,3.0,0.405
153,10689,22.297961,113.732383,198.7,14.0,3.0,0.405
154,10040,22.296181,113.732222,247.9,20.5,3.0,0.399
155,9449,22.293955,113.73208,200.6,23.5,3.0,0.381
156,10143,22.292156,113.731939,232.6,19.5,3.0,0.396
157,9989,22.290066,113.731845,226.8,29.5,3.0,0.463
158,10059,22.288026,113.731811,219.9,14.0,3.0,0.405
159,8838,22.286049,113.731803,220.9,13.0,3.0,0.405
160,10067,22.284062,113.731826,216.2,24.5,3.0,0.402
161,9546,22.28212,113.731919,215.8,37.5,3.0,0.351
162,10293,22.280184,113.732074,249.5,30.0,3.0,0.405
163,11128,22.277949,113.732282,459.6,24.5,3.0,0.41
164,10188,22.273953,113.733425,217.3,23.5,3.0,0.408
165,9330,22.272029,113.733794,237.4,23.5,3.0,0.408
166,9519,22.269953,113.734334,191.5,34.0,3.0,0.405
167,11701,22.268291,113.734821,255.6,9.0,3.0,0.405
168,8157,22.266119,113.735632,256.6,28.0,3.0,0.459
169,8889,22.263922,113.736396,286.1,39.5,3.0,0.416
170,10564,22.261548,113.737467,181.5,20.5,3.0,0.358
