序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
104,706,23.036074,113.401909,160.9,36.8,22.0,0.627
105,3415,23.036611,113.403369,168.1,27.5,22.0,0.639
106,623,23.037984,113.404058,169.1,40.8,27.0,0.665
107,3631,23.039399,113.404664,299.4,32.0,4.0,0.405
108,2191,23.041346,113.406685,133.5,28.5,45.0,0.75
109,671,23.042227,113.407572,193.9,37.2,69.0,0.666
110,756,23.043745,113.408503,124.4,28.3,44.0,0.766
111,2077,23.044569,113.409327,172.3,35.8,45.0,0.715
112,518,23.045982,113.410016,126.1,32.8,5.0,0.632
113,6589,23.046509,113.411107,201.6,9.3,5.0,0.445
114,829,23.048301,113.41141,208.2,35.3,66.0,0.732
115,115,23.050166,113.411588,197.2,31.7,49.0,0.637
116,1517,23.051618,113.412695,101.1,31.0,38.0,0.78
117,754,23.052255,113.413399,206.5,30.2,66.0,0.783
118,475,23.053998,113.414097,197.5,29.1,59.0,0.746
119,1027,23.0557,113.414647,103.5,23.8,42.0,0.772
120,1040,23.056356,113.415365,191.1,28.5,63.0,0.688
121,455,23.05799,113.415943,300.4,30.8,22.0,0.512
122,857,23.060301,113.417465,191.2,32.8,71.0,0.795
123,528,23.061882,113.418201,135.6,36.8,41.0,0.651
124,2686,23.062499,113.419343,173.5,35.0,45.0,0.714
125,67,23.063437,113.420698,93.8,34.5,26.0,0.737
126,948,23.063953,113.421423,315.3,22.0,1.0,0.467
127,1482,23.066053,113.423495,234.9,35.3,34.0,0.678
128,389,23.068137,113.423868,152.2,21.2,28.0,0.589
129,2366,23.069331,113.424596,162.3,21.5,27.0,0.636
130,381,23.070069,113.425964,153.5,18.1,16.0,0.56
131,3707,23.071247,113.426746,155.3,18.8,16.0,0.576
132,467,23.071848,113.428116,171.8,32.5,68.0,0.687
133,994,23.072525,113.429625,135.2,30.6,54.0,0.744
134,714,23.073549,113.430337,174.7,28.9,63.0,0.76
135,555,23.074254,113.431863,137.8,22.2,26.0,0.663
136,2048,23.075383,113.432421,171.6,23.3,28.0,0.588
137,529,23.075782,113.434041,195.2,27.1,67.0,0.736
138,664,23.076406,113.435825,132.9,18.6,24.0,0.614
139,1398,23.077511,113.436319,180.8,24.4,29.0,0.555
140,620,23.077717,113.438072,198.8,24.7,59.0,0.775
141,613,23.078158,113.439956,145.6,5.0,5.0,0.406
142,3659,23.079466,113.439924,230.4,17.5,8.0,0.315
143,1933,23.079352,113.442172,192.7,20.1,20.0,0.501
144,949,23.079472,113.444051,204.6,16.8,35.0,0.575
145,790,23.079524,113.44605,197.0,20.8,40.0,0.617
146,784,23.079483,113.447975,199.2,21.9,39.0,0.651
147,819,23.079473,113.449922,293.4,23.5,28.0,0.417
148,404,23.080484,113.452571,139.6,8.0,19.0,0.405
149,764,23.080357,113.453929,215.5,20.0,8.0,0.405
150,642,23.078423,113.454055,309.2,37.3,0.0,0.465
151,7866,23.076197,113.455867,242.0,47.9,6.0,0.578
152,6185,23.076737,113.458159,203.4,44.4,11.0,0.583
153,5025,23.076482,113.460128,223.4,28.9,18.0,0.703
154,1804,23.076786,113.462287,186.0,31.4,55.0,0.774
155,639,23.076553,113.464087,219.6,30.8,1.0,0.536
156,7900,23.074608,113.464456,207.0,35.5,7.0,0.528
157,6293,23.074357,113.466461,195.7,35.0,10.0,0.606
158,3200,23.074698,113.468338,189.1,30.5,39.0,0.74
159,786,23.074469,113.47017,186.0,27.7,65.0,0.784
160,537,23.074064,113.471934,200.5,17.2,45.0,0.55
161,891,23.073514,113.4738,131.5,19.1,25.0,0.644
162,1127,23.072392,113.474206,188.2,24.6,54.0,0.76
163,524,23.072078,113.476014,179.4,25.4,24.0,0.745
164,2920,23.070518,113.47646,175.3,55.8,33.0,0.648
165,663,23.070251,113.478148,183.5,27.4,52.0,0.736
166,563,23.069927,113.479906,191.2,28.7,28.0,0.641
167,1665,23.06949,113.481714,155.8,25.5,21.0,0.664
168,634,23.068122,113.482045,220.7,28.4,43.0,0.65
169,542,23.068065,113.484202,213.7,26.8,30.0,0.629
170,846,23.066143,113.484196,284.1,24.0,14.0,0.414
171,1345,23.064349,113.486173,189.8,27.0,42.0,0.727
172,691,23.064126,113.488012,181.4,29.7,27.0,0.678
173,2586,23.062526,113.488355,183.8,32.3,34.0,0.744
174,987,23.06202,113.490065,161.8,29.9,16.0,0.72
175,4373,23.060605,113.490437,179.4,28.2,18.0,0.736
176,1161,23.060114,113.492107,288.0,29.0,11.0,0.405
177,1629,23.058401,113.494218,195.9,32.3,36.0,0.648
178,1032,23.057884,113.496049,170.0,29.9,28.0,0.697
179,2545,23.056373,113.496301,170.6,26.4,29.0,0.726
180,1252,23.056194,113.497957,313.0,12.0,7.0,0.405
181,1456,23.054147,113.500056,190.8,18.0,14.0,0.456
182,1269,23.053994,113.501914,227.7,12.6,12.0,0.448
183,1377,23.051948,113.501998,203.2,32.4,30.0,0.724
184,2089,23.050138,113.502268,299.9,30.0,15.0,0.405
185,1367,23.048123,113.504217,168.9,23.7,11.0,0.629
186,2321,23.047832,113.505837,212.3,5.0,8.0,0.405
187,2193,23.048,113.507904,204.5,8.0,14.0,0.414
188,2625,23.046195,113.508288,163.1,5.0,8.0,0.405
189,2645,23.04596,113.509862,228.3,11.0,10.0,0.405
190,1735,23.043911,113.510014,305.8,7.0,3.0,0.405
191,1478,23.041812,113.511946,168.3,40.3,8.0,0.55
192,3887,23.041856,113.51359,258.0,33.0,7.0,0.457
