序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
102,8293,22.498023,113.742493,175.5,12.5,2.0,0.424
103,10661,22.496479,113.742848,293.5,20.0,2.0,0.361
104,7727,22.493895,113.74343,223.5,20.0,3.0,0.361
105,9042,22.491936,113.74392,203.8,15.3,3.0,0.384
106,8413,22.490146,113.74435,225.5,17.8,3.0,0.462
107,9566,22.488153,113.74475,252.9,21.0,3.0,0.487
108,8410,22.48594,113.745322,661.0,183.6,1.0,0.0
109,9985,22.480094,113.746482,909.3,252.6,1.0,0.0
110,8209,22.47206,113.748136,230.9,25.3,2.0,0.332
111,8502,22.470004,113.748455,208.9,21.3,2.0,0.438
112,9097,22.468142,113.748726,259.1,19.5,2.0,0.363
113,10834,22.465849,113.749172,206.6,30.0,1.0,0.405
114,12046,22.464002,113.74939,217.8,32.0,1.0,0.405
115,10868,22.462061,113.749676,225.0,30.0,1.0,0.405
116,10870,22.460055,113.749969,223.8,30.0,1.0,0.405
117,10871,22.45806,113.750257,233.4,30.0,2.0,0.405
118,9942,22.455977,113.750537,234.8,30.0,2.0,0.405
119,10897,22.45388,113.7508,214.7,27.0,2.0,0.405
120,9880,22.451992,113.751236,222.0,20.0,3.0,0.361
121,9660,22.450003,113.751413,218.5,30.0,2.0,0.405
122,8507,22.448055,113.751695,227.0,30.0,2.0,0.405
123,9627,22.446031,113.751985,236.1,30.0,2.0,0.405
124,9142,22.443923,113.752261,217.3,58.0,2.0,0.405
125,9536,22.441997,113.75262,190.1,30.0,2.0,0.405
126,11990,22.440296,113.7528,273.6,30.0,2.0,0.405
127,10999,22.437863,113.7532,208.2,30.0,2.0,0.405
128,9551,22.436003,113.75343,228.3,30.0,2.0,0.405
129,10063,22.433962,113.753668,216.9,30.0,2.0,0.405
130,9166,22.432023,113.753898,227.3,20.0,3.0,0.361
131,11042,22.429986,113.754087,220.3,32.0,2.0,0.405
132,9482,22.428015,113.754301,218.6,30.0,2.0,0.405
133,9173,22.426053,113.754449,239.2,30.0,2.0,0.405
134,11980,22.423908,113.754608,201.8,56.1,1.0,0.0
135,11075,22.422094,113.754541,222.0,61.7,1.0,0.0
136,11095,22.420122,113.754879,235.1,65.3,1.0,0.0
137,9177,22.418009,113.754794,203.7,30.0,2.0,0.405
138,9187,22.41624,113.754278,246.1,30.0,2.0,0.405
139,11145,22.414056,113.753892,222.4,61.8,1.0,0.0
140,11965,22.412151,113.753235,228.9,63.6,1.0,0.0
141,11141,22.410096,113.753381,221.8,9.0,2.0,0.405
142,10357,22.408129,113.753739,232.1,10.0,2.0,0.405
143,11198,22.406128,113.754381,290.7,9.0,1.0,0.405
144,9272,22.403928,113.75591,194.2,8.0,1.0,0.405
145,10403,22.402221,113.756309,291.4,9.0,1.0,0.405
146,10404,22.399798,113.757389,210.2,10.0,1.0,0.405
147,9156,22.397964,113.757884,227.2,10.0,1.0,0.405
148,9134,22.396035,113.758616,237.5,10.0,1.0,0.405
149,9086,22.394034,113.759421,233.0,10.0,1.0,0.405
150,9706,22.392056,113.760171,272.9,10.0,1.0,0.405
