序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
102,2059,23.14217,111.746054,295.1,82.0,3.0,0.0
103,4287,23.140695,111.748452,170.2,28.6,22.0,0.797
104,2016,23.140208,111.750031,307.0,85.3,3.0,0.0
105,4762,23.138799,111.752613,165.2,28.4,20.0,0.76
106,2369,23.13834,111.75415,194.5,28.1,35.0,0.768
107,1899,23.137824,111.755967,199.2,35.9,30.0,0.673
108,1816,23.137784,111.757914,209.1,29.3,14.0,0.507
109,2135,23.138075,111.759934,208.8,58.0,10.0,0.0
110,2819,23.137978,111.761974,199.8,55.5,11.0,0.0
111,3179,23.137637,111.763892,208.5,57.9,8.0,0.0
112,3982,23.137485,111.765924,200.5,55.7,5.0,0.0
113,5172,23.137288,111.767873,168.8,46.9,4.0,0.0
114,6490,23.137091,111.76951,285.6,79.3,1.0,0.0
115,2152,23.135878,111.771972,205.6,57.1,15.0,0.0
116,2591,23.135855,111.773983,212.8,59.1,12.0,0.0
117,2574,23.135796,111.776063,195.7,54.4,12.0,0.0
118,2688,23.135539,111.777957,204.4,56.8,11.0,0.0
119,2665,23.135583,111.779955,210.3,58.4,11.0,0.0
120,2573,23.135519,111.782011,205.4,57.1,10.0,0.0
121,2951,23.135423,111.784017,195.3,54.2,10.0,0.0
122,2784,23.135469,111.785926,217.9,60.5,10.0,0.0
123,2706,23.135373,111.788054,200.3,55.6,10.0,0.0
124,2783,23.135382,111.790013,198.6,55.2,10.0,0.0
125,2812,23.135313,111.791954,208.5,57.9,10.0,0.0
126,2723,23.135285,111.793993,205.8,57.2,11.0,0.0
127,2728,23.135266,111.796006,208.7,58.0,11.0,0.0
128,2627,23.135264,111.798047,193.6,53.8,11.0,0.0
129,2761,23.135278,111.79994,212.3,59.0,10.0,0.0
130,2805,23.135299,111.802016,202.9,56.4,10.0,0.0
131,2941,23.135244,111.804,197.2,54.8,11.0,0.0
132,2750,23.135213,111.805928,212.1,58.9,10.0,0.0
133,3075,23.135218,111.808002,206.8,57.4,10.0,0.0
134,3400,23.135173,111.810024,195.6,54.3,10.0,0.0
135,3399,23.13518,111.811937,211.5,58.8,10.0,0.0
136,3603,23.135185,111.814006,214.2,59.5,10.0,0.0
137,2696,23.135186,111.816101,205.2,29.0,12.0,0.405
138,2315,23.135315,111.818103,198.5,55.1,13.0,0.0
139,2171,23.135525,111.820031,203.5,56.5,14.0,0.0
140,2047,23.135779,111.822001,218.9,60.8,15.0,0.0
141,1502,23.135899,111.824138,454.6,126.3,1.0,0.0
142,6489,23.137145,111.828373,185.6,51.6,4.0,0.0
143,5163,23.137287,111.830181,195.3,54.2,7.0,0.0
144,3597,23.137378,111.832088,200.6,55.7,10.0,0.0
145,2844,23.137531,111.834044,221.0,61.4,12.0,0.0
146,2142,23.137743,111.836192,198.1,55.2,21.0,0.464
147,1411,23.137465,111.838106,197.8,29.8,34.0,0.775
148,1098,23.137738,111.840017,197.8,24.7,41.0,0.786
149,1296,23.138127,111.841905,211.9,29.1,33.0,0.774
150,1747,23.138547,111.843927,249.3,69.2,12.0,0.0
151,1086,23.139665,111.84604,200.0,29.9,44.0,0.773
152,1141,23.140165,111.847919,193.7,26.4,37.0,0.765
153,2125,23.140616,111.849749,259.4,72.1,8.0,0.0
154,1121,23.14178,111.851948,199.1,36.6,40.0,0.631
155,1507,23.142086,111.853866,210.3,36.2,40.0,0.603
156,1833,23.142306,111.855909,13433.4,3731.5,1.0,0.0
157,1459,23.098146,111.978178,1971.5,547.6,1.0,0.0
158,912,23.088102,111.994062,659.5,183.2,1.0,0.0
159,1580,23.086002,112.000091,1031.4,1259.0,1.0,0.405
160,1971,23.084534,112.010047,206.0,34.2,39.0,0.712
161,1667,23.084336,112.012049,208.5,28.1,44.0,0.783
162,1204,23.084108,112.014073,207.4,27.9,50.0,0.775
163,884,23.083862,112.016082,7134.4,1981.8,1.0,0.0
164,1405,23.086382,112.085775,173.6,26.0,20.0,0.72
165,5268,23.08682,112.087404,1526.0,423.9,1.0,0.0
166,8830,23.088819,112.102164,408.5,169.0,1.0,0.405
167,1935,23.088483,112.10614,202.5,33.8,43.0,0.774
168,1299,23.087939,112.108029,207.8,27.8,44.0,0.763
169,1279,23.087524,112.11001,243.5,67.6,9.0,0.0
170,1957,23.086533,112.112133,404.2,89.0,0.0,0.405
171,1214,23.086184,112.116066,198.0,27.5,48.0,0.767
172,1057,23.086222,112.118002,399.4,258.0,1.0,0.405
173,1213,23.086538,112.121892,404.3,133.0,1.0,0.405
174,3041,23.086845,112.12583,228.1,29.0,14.0,0.516
175,4124,23.086926,112.128057,420.0,30.0,1.0,0.405
176,1860,23.086644,112.132152,188.6,31.6,44.0,0.782
177,1355,23.086255,112.133947,409.9,113.9,1.0,0.0
178,956,23.086074,112.137949,201.1,55.9,25.0,0.0
179,1591,23.086021,112.139914,210.3,58.4,20.0,0.0
180,2038,23.085461,112.141877,443.7,123.2,1.0,0.0
181,1638,23.084087,112.14595,210.2,58.4,18.0,0.0
182,2131,23.083483,112.147897,166.9,46.4,11.0,0.0
183,5349,23.083152,112.149489,282.3,78.4,1.0,0.0
184,1741,23.082042,112.15197,203.6,56.6,17.0,0.0
185,2237,23.08153,112.153881,184.7,51.3,11.0,0.0
186,4350,23.08122,112.155655,265.7,30.0,2.0,0.405
187,1809,23.080213,112.158011,403.5,69.0,1.0,0.405
188,2694,23.079575,112.161894,5366.7,1490.8,1.0,0.0
189,8142,23.101263,112.208765,298.7,90.0,1.0,0.405
190,11793,23.10314,112.210855,166.6,46.3,2.0,0.0
191,2060,23.10384,112.212295,173.6,25.6,15.0,0.526
192,1198,23.104067,112.213974,154.8,30.4,21.0,0.809
193,4612,23.104579,112.215381,313.4,165.5,4.0,0.293
194,4240,23.10653,112.217593,305.7,106.5,5.0,0.316
195,2833,23.107962,112.220144,437.8,121.6,1.0,0.0
196,7661,23.110555,112.223364,1432.9,398.0,1.0,0.0
197,7279,23.116646,112.235712,475.5,90.5,2.0,0.4
198,2133,23.118498,112.239902,190.0,30.9,29.0,0.77
199,3668,23.118667,112.241751,262.2,32.0,5.0,0.405
200,1634,23.119627,112.244092,198.8,35.0,44.0,0.741
201,1586,23.119958,112.246002,489.4,135.9,1.0,0.0
202,1246,23.122401,112.249982,200.0,55.6,2.0,0.0
203,1075,23.123188,112.25174,241.4,67.1,15.0,0.0
204,2083,23.123841,112.253991,207.6,48.0,16.0,0.405
205,1913,23.124226,112.255978,256.1,210.0,4.0,0.405
206,3227,23.125449,112.2581,354.4,120.0,1.0,0.405
207,9216,23.127979,112.26021,279.5,210.0,3.0,0.405
208,8687,23.129843,112.262042,342.1,210.0,2.0,0.405
209,9555,23.131898,112.264532,224.5,241.0,3.0,0.405
