序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
102,9593,22.982489,113.536742,136.0,8.5,1.0,0.404
103,5759,22.981845,113.537871,213.8,6.5,2.0,0.352
104,5984,22.979923,113.537951,219.0,9.5,2.0,0.433
105,7140,22.978007,113.538445,172.3,8.0,2.0,0.405
106,12215,22.976505,113.53886,119.1,9.0,1.0,0.467
107,5975,22.975896,113.539817,201.8,9.0,2.0,0.467
108,5833,22.974086,113.539969,242.4,8.0,2.0,0.405
109,6911,22.971961,113.540495,180.6,12.0,1.0,0.405
110,12235,22.970366,113.540831,121.5,7.0,1.0,0.436
111,5415,22.969897,113.541903,215.0,9.0,3.0,0.405
112,5162,22.967963,113.541925,218.7,9.5,3.0,0.433
113,5282,22.966014,113.542208,226.7,13.0,2.0,0.405
114,5960,22.963992,113.542496,235.8,3.0,2.0,0.405
115,5959,22.961885,113.542753,211.0,7.0,0.0,0.405
116,12253,22.95999,113.542867,63.2,9.0,0.0,0.405
117,4549,22.959949,113.543483,221.1,10.0,4.0,0.445
118,4567,22.957963,113.543607,231.5,9.0,4.0,0.419
119,4530,22.955907,113.543964,205.2,7.0,4.0,0.436
120,4825,22.954079,113.544235,230.2,10.0,3.0,0.405
121,5561,22.95201,113.544305,104.8,10.0,0.0,0.405
122,6163,22.951875,113.545318,235.7,2.0,3.0,0.405
123,5847,22.949778,113.545658,219.8,12.0,4.0,0.405
124,5030,22.947817,113.54593,203.5,11.5,5.0,0.439
125,4492,22.946002,113.545683,237.1,4.0,5.0,0.405
126,4579,22.943886,113.545968,232.3,19.0,6.0,0.419
127,3156,22.9418,113.545847,207.8,24.2,12.0,0.469
128,2258,22.939933,113.54594,209.2,23.3,22.0,0.624
129,2465,22.938066,113.546187,192.8,27.8,14.0,0.59
130,4541,22.936391,113.546673,305.1,30.0,2.0,0.405
131,2462,22.934004,113.548142,199.5,20.2,18.0,0.651
132,4361,22.932271,113.548644,210.1,21.0,3.0,0.517
133,8825,22.930382,113.548606,297.0,30.0,1.0,0.405
134,3723,22.928346,113.550483,139.4,19.8,11.0,0.572
135,3092,22.927804,113.551711,196.7,21.1,19.0,0.583
136,2698,22.926059,113.55202,217.9,20.1,15.0,0.596
137,3628,22.924137,113.552437,197.8,22.4,9.0,0.549
138,5938,22.922358,113.552396,234.6,23.3,2.0,0.436
139,8653,22.92025,113.552477,310.4,20.0,0.0,0.361
140,4852,22.918149,113.554473,286.6,16.5,5.0,0.383
141,3114,22.916087,113.556153,157.3,17.5,2.0,0.471
142,3596,22.915851,113.557667,215.4,25.5,10.0,0.483
143,2878,22.913944,113.558036,213.0,22.4,15.0,0.578
144,3313,22.912029,113.558083,210.4,22.5,16.0,0.624
145,3859,22.910144,113.55826,226.3,29.4,11.0,0.578
146,5308,22.908117,113.558462,182.4,25.0,3.0,0.527
147,9336,22.906491,113.558693,172.1,19.7,3.0,0.567
148,3101,22.906008,113.560289,210.2,22.1,12.0,0.631
149,4495,22.904118,113.560336,199.0,21.8,6.0,0.592
150,6452,22.902341,113.56057,215.9,19.4,1.0,0.479
151,10441,22.900406,113.560743,153.8,22.2,1.0,0.529
152,3344,22.900095,113.562205,228.1,23.4,14.0,0.646
153,4242,22.898056,113.562453,192.0,26.2,8.0,0.618
154,6050,22.896337,113.562628,233.9,25.9,3.0,0.569
155,8694,22.894241,113.562818,284.8,27.8,1.0,0.551
156,2874,22.892076,113.564303,230.0,25.2,21.0,0.697
157,3110,22.89001,113.564424,222.9,24.0,16.0,0.661
158,3746,22.888021,113.564152,225.1,29.1,14.0,0.63
159,4203,22.885998,113.564227,215.7,23.6,14.0,0.662
160,3934,22.884058,113.564229,220.6,26.8,14.0,0.616
161,4112,22.882076,113.564324,221.3,20.6,13.0,0.615
162,4281,22.880087,113.564273,218.0,21.0,13.0,0.607
163,4183,22.878128,113.564207,238.5,29.0,10.0,0.561
164,4475,22.875983,113.56424,224.8,23.7,10.0,0.563
165,4353,22.873973,113.564476,218.2,20.1,8.0,0.576
166,5303,22.872026,113.564205,223.1,23.5,6.0,0.511
167,5552,22.870026,113.564376,266.8,22.0,1.0,0.405
168,4753,22.867988,113.565751,225.7,33.0,10.0,0.561
169,4360,22.865984,113.566099,259.9,9.0,1.0,0.405
170,4625,22.864037,113.567503,231.5,23.0,6.0,0.478
171,4224,22.861955,113.567478,219.1,30.9,10.0,0.535
172,3476,22.860009,113.567807,222.4,19.5,12.0,0.587
173,4098,22.858095,113.568437,198.9,26.5,2.0,0.567
174,7417,22.856318,113.568664,119.5,21.2,2.0,0.602
175,3880,22.855848,113.569713,195.4,26.6,12.0,0.615
176,4711,22.854211,113.570406,237.2,19.5,3.0,0.352
177,6377,22.85211,113.570007,257.0,19.5,2.0,0.342
178,4894,22.849813,113.570284,167.3,17.0,3.0,0.377
179,4537,22.84955,113.571892,112.7,14.7,4.0,0.363
180,5893,22.848547,113.572052,259.6,17.5,1.0,0.376
181,9093,22.846254,113.57253,282.9,19.5,1.0,0.342
182,6973,22.844065,113.573937,186.3,19.0,1.0,0.366
183,12043,22.842546,113.574703,119.5,11.0,1.0,0.405
184,7002,22.841857,113.575598,201.0,19.0,3.0,0.366
185,8503,22.840182,113.576335,278.1,36.0,2.0,0.313
186,8180,22.838125,113.577879,305.6,19.0,1.0,0.366
187,8542,22.836308,113.580115,223.3,37.5,1.0,0.311
188,10939,22.834316,113.580389,193.3,10.0,1.0,0.405
189,9659,22.834263,113.582274,229.2,11.0,1.0,0.405
190,10983,22.832203,113.582374,289.4,13.0,1.0,0.418
191,9515,22.830125,113.584074,309.0,21.0,2.0,0.366
192,10157,22.827881,113.585852,290.3,46.5,2.0,0.296
193,10200,22.825834,113.587611,319.2,20.0,3.0,0.35
194,11950,22.823787,113.589794,314.9,21.5,2.0,0.373
195,7943,22.82193,113.592114,174.8,13.7,3.0,0.426
196,11245,22.8205,113.592822,148.7,11.0,2.0,0.447
197,9211,22.819642,113.593935,160.2,10.5,2.0,0.457
198,9292,22.818221,113.593673,261.8,10.0,1.0,0.405
199,10361,22.818053,113.596221,307.5,21.0,1.0,0.376
200,11107,22.815891,113.598092,283.9,19.5,1.0,0.352
