序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
103,1303,23.078608,113.450112,200.6,29.7,58.0,0.8
104,892,23.078534,113.452071,203.3,26.1,67.0,0.812
105,642,23.078423,113.454055,200.3,27.6,78.0,0.823
106,478,23.078248,113.456003,204.0,26.1,82.0,0.802
107,426,23.077966,113.457973,205.2,31.4,76.0,0.705
108,465,23.077653,113.459951,257.7,25.6,12.0,0.718
109,1804,23.076786,113.462287,186.0,31.4,55.0,0.774
110,639,23.076553,113.464087,203.4,39.6,79.0,0.597
111,487,23.076125,113.46602,198.9,28.3,69.0,0.772
112,603,23.075617,113.467885,188.2,22.0,30.0,0.351
113,1757,23.075325,113.469697,106.8,25.0,21.0,0.663
114,786,23.074469,113.47017,316.3,29.0,8.0,0.405
115,4182,23.07257,113.472471,178.5,39.8,24.0,0.671
116,1127,23.072392,113.474206,188.2,24.6,54.0,0.76
117,524,23.072078,113.476014,186.4,36.4,40.0,0.51
118,775,23.071573,113.477751,177.8,27.4,9.0,0.501
119,4995,23.071312,113.479466,160.5,25.8,8.0,0.482
120,563,23.069927,113.479906,296.9,36.2,13.0,0.546
121,634,23.068122,113.482045,311.2,27.7,7.0,0.669
122,846,23.066143,113.484196,178.1,22.5,44.0,0.683
123,729,23.065963,113.485925,217.8,20.0,26.0,0.452
124,150,23.06606,113.488052,191.9,25.0,6.0,0.39
125,323,23.06655,113.489851,158.2,15.7,3.0,0.391
126,5239,23.066526,113.491397,341.1,10.0,1.0,0.405
127,5048,23.063472,113.491719,295.0,47.0,2.0,0.405
128,2429,23.061469,113.493609,193.7,13.0,3.0,0.405
129,6840,23.06131,113.495494,180.5,18.0,3.0,0.405
130,1520,23.059708,113.495776,206.2,5.0,6.0,0.405
131,4654,23.059597,113.497788,188.8,5.0,3.0,0.405
132,1277,23.057901,113.497876,182.1,9.0,12.0,0.405
133,3385,23.057575,113.499619,180.4,18.0,12.0,0.384
134,1146,23.055985,113.499973,181.8,17.0,14.0,0.304
135,2769,23.055557,113.501688,175.3,16.7,12.0,0.406
136,1269,23.053994,113.501914,183.6,8.5,14.0,0.429
137,2510,23.053693,113.503678,189.2,7.0,12.0,0.376
138,1700,23.052023,113.504031,182.6,6.5,12.0,0.45
139,2334,23.051733,113.505788,199.4,12.5,11.0,0.441
140,1932,23.049953,113.506022,186.0,10.0,7.0,0.339
141,3235,23.049883,113.507838,209.4,5.0,6.0,0.405
142,2193,23.048,113.507904,204.5,8.0,14.0,0.414
143,2625,23.046195,113.508288,163.1,5.0,8.0,0.405
144,2645,23.04596,113.509862,211.2,18.0,3.0,0.405
145,4178,23.045868,113.511923,234.7,65.2,3.0,0.0
146,5791,23.046138,113.514198,203.4,31.5,4.0,0.457
147,5283,23.045938,113.516174,217.8,53.2,6.0,0.421
148,3836,23.045744,113.518292,166.6,31.5,4.0,0.527
149,8519,23.047226,113.518536,209.3,43.7,6.0,0.438
150,2944,23.047569,113.520547,139.6,47.0,22.0,0.625
151,1683,23.048323,113.521637,177.7,30.6,3.0,0.532
152,9641,23.048489,113.523364,209.5,22.4,3.0,0.583
153,2109,23.050363,113.523575,156.2,38.9,33.0,0.643
154,2891,23.051447,113.524547,303.4,30.0,4.0,0.405
155,2724,23.053521,113.526475,158.2,38.6,27.0,0.661
156,2504,23.054358,113.527725,302.6,84.1,2.0,0.0
157,2505,23.056325,113.529769,291.9,81.1,4.0,0.0
158,2518,23.058175,113.531792,289.9,30.0,5.0,0.405
159,2542,23.060069,113.53374,312.9,30.0,2.0,0.405
160,3725,23.0624,113.535453,199.9,32.2,17.0,0.643
161,1982,23.064076,113.536159,122.6,27.3,6.0,0.656
162,6884,23.064584,113.537224,178.7,23.8,7.0,0.575
163,2212,23.066139,113.537664,205.6,39.1,26.0,0.674
164,2148,23.067833,113.53847,283.7,78.8,9.0,0.0
165,1764,23.070155,113.53962,307.2,30.0,4.0,0.51
166,4590,23.072369,113.541416,193.7,33.4,9.0,0.545
167,2209,23.074101,113.541616,217.2,28.0,2.0,0.405
168,6240,23.074101,113.543739,255.4,30.0,3.0,0.405
169,3995,23.076385,113.543476,311.8,86.6,1.0,0.0
170,4545,23.078271,113.545732,205.2,40.0,4.0,0.474
171,7441,23.078407,113.547732,303.1,30.0,0.0,0.405
172,6623,23.080504,113.549624,313.3,30.0,1.0,0.405
173,4011,23.082631,113.551633,216.4,29.7,7.0,0.503
174,6636,23.082437,113.553739,315.1,30.0,3.0,0.405
175,2007,23.084417,113.555941,178.7,74.5,23.0,0.534
176,3444,23.084758,113.557649,242.8,45.2,6.0,0.488
177,6461,23.084398,113.55999,287.2,79.8,1.0,0.0
178,157,23.086686,113.561294,259.8,72.2,1.0,0.0
179,8709,23.084405,113.561842,304.8,37.4,3.0,0.576
180,2117,23.086283,113.564012,129.9,41.0,26.0,0.62
181,936,23.085986,113.565241,328.1,91.1,8.0,0.0
182,2419,23.087384,113.568065,401.4,123.0,1.0,0.405
183,141,23.088512,113.571794,548.7,152.4,1.0,0.0
184,10,23.090689,113.576607,128.5,37.1,31.0,0.595
185,850,23.090682,113.577863,184.6,29.6,27.0,0.715
186,2051,23.090717,113.579668,180.1,32.5,4.0,0.606
187,9744,23.0908,113.581426,114.0,34.5,4.0,0.676
188,1620,23.091686,113.581986,187.6,22.0,1.0,0.38
189,9207,23.093332,113.58239,185.2,34.2,4.0,0.464
190,5329,23.093473,113.584193,196.8,34.6,14.0,0.509
191,1937,23.09361,113.586111,203.9,40.6,27.0,0.581
192,2177,23.094405,113.587908,151.6,24.7,6.0,0.591
193,9782,23.094965,113.589259,129.3,31.6,6.0,0.645
194,1761,23.095898,113.590014,169.0,26.9,23.0,0.659
195,3732,23.096668,113.591438,134.3,38.8,23.0,0.608
196,2389,23.097522,113.592368,306.5,30.0,5.0,0.405
197,3585,23.099447,113.594513,169.4,29.3,27.0,0.723
198,1556,23.10013,113.595993,152.6,26.9,15.0,0.737
199,5697,23.100811,113.597288,140.0,30.4,15.0,0.741
200,1047,23.101889,113.597996,176.9,27.6,36.0,0.765
201,2647,23.102653,113.599513,227.8,29.2,6.0,0.588
202,8500,23.102757,113.601737,290.3,40.0,4.0,0.445
203,3137,23.104637,113.603708,214.1,42.3,13.0,0.536
204,6314,23.104192,113.605744,220.4,35.0,8.0,0.585
205,7579,23.104514,113.60787,177.0,28.9,6.0,0.6
206,9095,23.104574,113.609599,271.9,36.2,4.0,0.517
207,6529,23.104592,113.612258,209.1,41.8,3.0,0.515
208,11794,23.104843,113.614284,128.8,30.5,2.0,0.456
209,9119,23.104071,113.615224,422.1,30.0,1.0,0.405
210,851,23.106748,113.618151,190.3,32.9,1.0,0.531
211,6,23.107416,113.616438,,,,
