序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
102,3223,23.158046,111.668067,207.1,28.9,20.0,0.626
103,3014,23.157878,111.670084,202.1,38.5,17.0,0.55
104,2928,23.158316,111.672003,205.7,37.7,17.0,0.577
105,2989,23.158537,111.674,194.5,25.9,12.0,0.64
106,3711,23.158638,111.675899,192.5,25.7,9.0,0.491
107,5352,23.158827,111.677771,246.9,30.0,3.0,0.405
108,9464,23.158923,111.680184,212.8,19.3,0.0,0.429
109,1784,23.159908,111.681968,196.1,33.6,34.0,0.696
110,2082,23.159835,111.683884,211.7,29.1,30.0,0.684
111,2364,23.159775,111.685954,204.1,30.1,21.0,0.651
112,2906,23.159634,111.687944,208.0,20.7,13.0,0.406
113,3578,23.159808,111.68997,210.8,4.0,8.0,0.405
114,3806,23.160095,111.692008,241.4,26.0,1.0,0.405
115,2863,23.157925,111.69195,189.6,22.8,16.0,0.591
116,3567,23.15755,111.693759,291.0,60.0,1.0,0.405
117,2184,23.155995,111.696048,189.2,29.6,26.0,0.649
118,3171,23.155437,111.697796,251.9,30.0,7.0,0.51
119,3608,23.156244,111.700098,328.5,91.2,1.0,0.0
120,1954,23.153896,111.702049,254.9,22.5,2.0,0.358
121,7913,23.15282,111.70425,170.1,18.8,3.0,0.568
122,8329,23.152844,111.705913,222.8,21.8,1.0,0.465
123,11167,23.152795,111.708092,236.8,18.0,1.0,0.453
124,1167,23.153973,111.710021,202.3,33.0,46.0,0.75
125,1166,23.154058,111.711998,205.0,29.7,46.0,0.779
126,1179,23.154108,111.714002,201.6,32.1,45.0,0.743
127,1188,23.154057,111.715974,211.7,30.8,45.0,0.768
128,1070,23.153911,111.718038,273.8,33.8,4.0,0.503
129,6885,23.152798,111.720427,185.1,30.1,9.0,0.739
130,3613,23.152774,111.722238,142.2,30.0,7.0,0.467
131,1668,23.154015,111.7219,208.1,57.8,14.0,0.0
132,2409,23.153943,111.723934,211.9,58.9,11.0,0.0
133,2849,23.153468,111.725941,241.5,67.1,3.0,0.0
134,1633,23.152292,111.727926,206.8,57.4,15.0,0.0
135,2266,23.152064,111.729934,205.9,19.0,2.0,0.405
136,2042,23.150215,111.73002,299.9,83.3,2.0,0.0
137,5583,23.148759,111.73249,168.1,29.7,16.0,0.754
138,2172,23.14836,111.734075,314.7,87.4,1.0,0.0
139,5785,23.146679,111.736551,159.2,30.9,14.0,0.719
140,1984,23.146329,111.738062,205.4,33.3,1.0,0.484
141,1924,23.144561,111.738644,184.2,29.0,1.0,0.405
142,5170,23.144709,111.740439,176.5,29.9,18.0,0.788
143,2073,23.144248,111.742091,298.9,83.0,1.0,0.0
144,4719,23.142769,111.744532,169.2,29.7,24.0,0.768
145,2059,23.14217,111.746054,204.2,28.2,33.0,0.783
146,2029,23.141596,111.747951,262.8,73.0,12.0,0.0
147,2016,23.140208,111.750031,203.1,26.8,33.0,0.795
148,1813,23.139649,111.751922,219.3,60.9,14.0,0.0
149,2124,23.140167,111.753991,198.9,55.2,13.0,0.0
150,2655,23.139683,111.755864,202.8,56.3,9.0,0.0
151,4061,23.139365,111.757817,259.7,72.1,2.0,0.0
152,2135,23.138075,111.759934,302.2,83.9,3.0,0.0
153,1727,23.136172,111.762044,266.9,26.8,1.0,0.511
154,8226,23.134828,111.764206,202.8,26.6,3.0,0.582
155,4618,23.134826,111.76619,190.8,26.1,14.0,0.655
156,3470,23.134634,111.768044,199.7,26.4,17.0,0.712
157,2707,23.134499,111.769991,199.3,26.2,28.0,0.76
158,2247,23.134398,111.771938,206.0,26.1,33.0,0.793
159,1850,23.134474,111.773951,202.3,28.7,37.0,0.798
160,1815,23.134322,111.775922,213.3,27.9,38.0,0.795
161,1808,23.134165,111.778001,200.9,27.1,39.0,0.778
162,1894,23.134074,111.779964,209.1,26.4,39.0,0.804
163,1817,23.133991,111.782006,206.8,27.3,40.0,0.797
164,1749,23.13395,111.784028,203.0,29.1,41.0,0.788
165,1702,23.133831,111.78601,209.1,27.5,40.0,0.802
166,1730,23.133686,111.788049,199.2,25.6,40.0,0.785
167,1895,23.133621,111.789996,199.0,26.6,40.0,0.808
168,1839,23.133554,111.79194,217.6,28.4,39.0,0.803
169,1890,23.133483,111.794066,197.4,28.5,39.0,0.776
170,1976,23.133404,111.795995,203.5,30.3,36.0,0.73
171,2120,23.133425,111.797985,209.5,25.7,34.0,0.712
172,2097,23.133449,111.800034,208.4,35.4,34.0,0.673
173,2090,23.133407,111.802071,193.5,28.9,35.0,0.729
174,2138,23.133398,111.803964,208.2,29.9,37.0,0.697
175,1701,23.133382,111.805999,206.2,29.6,38.0,0.647
176,1566,23.133457,111.808014,205.6,28.2,40.0,0.777
177,1385,23.133508,111.810024,206.8,26.5,41.0,0.805
178,1347,23.13365,111.812041,199.3,26.5,42.0,0.797
179,1203,23.133829,111.81398,205.9,29.3,41.0,0.781
180,1508,23.134015,111.815984,210.3,25.7,39.0,0.798
181,1690,23.134232,111.818027,199.3,26.4,38.0,0.781
182,1852,23.134457,111.819961,210.5,25.8,37.0,0.778
183,1851,23.134696,111.822003,181.3,25.0,33.0,0.779
184,2684,23.134869,111.823767,191.0,30.2,11.0,0.735
